id	page-title	page-description	banner	bannerlink	banneralt	promo
Apparel-Merchandise	Apparel & Merchandise at CampusColors.com	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	banners/test_cat_banner_785x200.jpg		Apparel Banner	Some promotional text goes here
team_long	page-description	team_league	team_short	team_code-img	sub_banner	max-price
Shorts	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	website_filter	blank	cat_images/shorts_apparel_merchandise.jpg	banners/test_cat_banner_785x200.jpg	400
T-Shirts	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	website_filter	blank	cat_images/tshirts_apparel_merchandise.jpg	blank	400
Sweatshirts	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	website_filter	blank	cat_images/sweatshirts_apparel_merchandise.jpgs	blank	400
Jerseys	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	website_filter	blank	cat_images/jerseys_apparel_merchandise.jpg	blank	400
Pants	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	website_filter	blank	cat_images/pants_apparel_merchandise.jpg	blank	400
Hats	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	website_filter	blank	cat_images/hats_apparel_merchandise.jpg	blank	400
Novelties and Accessories	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	website_filter	blank	cat_images/novelties_accessories.jpgs	blank	400
Men's	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	size_gender	blank	cat_images/mens_apparel_merchandise.jpg	blank	400
Women's	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	size_gender	blank	cat_images/womens_apparel_merchandise.jpg	blank	400
Kid's	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	size_gender	blank	cat_images/kids_apparel_merchandise.jpg	blank	400
Youth	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	size_gender	blank	cat_images/youth_apparel_merchandise.jpg	blank	400
Toddler	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	size_gender	blank	cat_images/toddler_apparel_merchandise.jpg	blank	400
Infant	"Shop Campus Colors for thousands of NCAA, NFL, NBA, MLB, & NHL products, novelties and more! We offer gear from top brands such as Nike & Adidas. Ship Same-Day to All 50 States!"	size_gender	blank	cat_images/infant_apparel_merchandise.jpg	blank	400
